Designator,Mid X,Mid Y,Layer,Rotation
C1,135.328427,-102.328427,top,180
C2,135.328427,-100.828427,top,180
C3,135.328427,-103.828427,top,180
C4,135.328427,-105.328427,top,180
C5,137.328427,-101.828427,top,-90
C6,135.328427,-111.828427,top,-90
C7,130.328427,-114.828427,top,90
C8,146,-115.5,top,180
C9,135,-108.5,top,-90
C10,130.328427,-111.328427,top,0
C11,132.848427,-111.328427,top,180
C12,156.828427,-116.828427,top,180
C13,154.828427,-114.328427,top,180
D1,149.828427,-112.328427,top,-90
FB1,136.5,-114.328427,top,0
J1,163.245,-100.828427,top,90
J2,154.58,-92,top,-90
J3,140,-118.5,top,90
J4,140.81,-92,top,-90
R1,132.828427,-99.328427,top,0
R2,152,-106,top,-90
R3,153.828427,-111.328427,top,0
R4,149.5,-115,top,180
R5,139.5,-114,top,0
SW1,125.33,-100.828427,top,-90
U1,141.828427,-107.828427,top,0
U2,161.328427,-110.828427,top,90
Y1,131.5,-108.428427,top,-90
